id,title,title_en,chapters,publishing,published_from,published_to,score,scored_by,members,favorites,Action,Adventure,Avant_Garde,Award_Winning,Boys_Love,Comedy,Drama,Fantasy,Girls_Love,Gourmet,Horror,Mystery,Romance,Sci_Fi,Slice_of_Life,Sports,Supernatural,Suspense,Ecchi,Erotica,Josei,Kids,Seinen,Shoujo,Shounen
36,Kamikaze Kaitou Jeanne,Phantom Thief Jeanne,33,FALSE,12/29/1997,6/3/2000,7.8,10213,19162,800,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
37,Shinshi Doumei Cross,The Gentleman's Alliance Cross,59,FALSE,8/3/2004,6/3/2008,7.86,12390,25580,1059,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
38,#NAME?,#NAME?,59,FALSE,12/27/1999,1/27/2005,7.66,10367,20392,884,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,Zombie Powder.,Zombiepowder.,30,FALSE,7/19/1999,2/15/2000,7,7185,14893,249,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,Black Cat,Black Cat,187,FALSE,7/11/2000,6/14/2004,7.81,21634,46628,1739,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Busou Renkin,Buso Renkin,83,FALSE,6/23/2003,4/25/2006,7.26,7797,16400,227,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,Dragon Ball,Dragon Ball,520,FALSE,11/20/1984,5/23/1995,8.4,89103,145792,13465,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,Eyeshield 21,Eyeshield 21,333,FALSE,7/23/2002,6/15/2009,8.48,34134,72268,4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
44,Gintama,Gin Tama,709,FALSE,12/8/2003,6/20/2019,8.62,37911,89779,8154,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
45,Ichigo 100%,Strawberry 100%,167,FALSE,2/19/2002,8/1/2005,7.78,20560,46125,1997,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
46,Kannade,,15,FALSE,9/22/2003,12/15/2003,6.84,104,393,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
47,Katekyo Hitman Reborn!,Reborn!,411,FALSE,5/24/2004,11/12/2012,8.12,65227,118564,9643,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,Pretty Face,Pretty Face,53,FALSE,5/14/2002,6/9/2003,7.58,9906,18335,510,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
49,Tennis no Ouji-sama,Prince of Tennis,382,FALSE,7/6/1999,3/3/2008,7.71,12808,24928,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,Shaman King,Shaman King,288,FALSE,6/30/1998,8/30/2004,7.79,34902,70689,3302,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,Slam Dunk,Slam Dunk,276,FALSE,9/18/1990,6/4/1996,9.07,66287,147959,14064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
52,Whistle!,Whistle!,216,FALSE,2/24/1998,10/8/2002,7.79,2616,5630,157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
53,Yuu☆Yuu☆Hakusho,Yu Yu Hakusho,176,FALSE,11/20/1990,7/12/1994,8.2,28995,63538,2575,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
54,Yu☆Gi☆Oh!,Yu-Gi-Oh!,343,FALSE,9/17/1996,3/8/2004,7.64,18089,36498,1926,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
55,Aishiteruze Baby★★,Aishiteruze Baby,33,FALSE,3/2/2002,12/1/2004,7.91,11661,21844,385,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
56,Caramel Diary,,5,FALSE,3/18/1999,9/18/1999,6.63,489,929,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
57,Hanazakari no Kimitachi e,Hana-Kimi: For You in Full Blossom,148,FALSE,8/20/1996,8/20/2004,8.29,16748,34904,1915,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
58,W-Juliet,W-Juliet,79,FALSE,10/15/1997,11/20/2002,7.9,4037,9649,230,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
61,Seito no Shucho Kyoushi no Honbun,"...But, I'm Your Teacher",7,FALSE,7/1/1997,,6.51,537,1070,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,± Junkie,,4,FALSE,6/3/2003,9/3/2003,6.19,718,1332,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
64,13 Nichi wa Kinyoubi?,,15,FALSE,3/3/2003,10/18/2004,6.73,288,842,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
65,17-sai: Hajimete no H,,7,FALSE,6/26/2001,,6.46,2164,4113,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
66,Ninin ga Shinobuden,Ninja Nonsense,68,FALSE,7/18/2000,1/21/2006,7.01,305,1047,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,2001-ya Monogatari,2001 Nights,20,FALSE,5/5/1984,5/6/1986,7.83,1334,5015,102,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
68,3.3.7 Byooshi!!,,86,FALSE,7/25/2001,6/11/2003,7.09,942,2491,14,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
69,"""Suki"" to Ienai.",,1,FALSE,10/14/2006,,6.75,3447,5672,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
70,Übel Blatt,Ubel Blatt,167,FALSE,12/3/2004,3/25/2019,7.66,18033,53251,1362,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
71,Zettai Kareshi.,Absolute Boyfriend,35,FALSE,5/20/2003,10/5/2004,7.69,21592,37111,1503,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
72,Abenobashi Mahou☆Shoutengai,Magical Shopping Arcade Abenobashi,12,FALSE,7/26/2001,6/26/2002,6.55,840,1976,15,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
73,Tenjou Tenge,Tenjho Tenge,136,FALSE,10/18/1997,8/19/2010,7.26,11623,27472,817,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
74,Air Gear,Air Gear,358,FALSE,11/6/2002,5/23/2012,7.79,38452,79687,4742,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
75,Ai yori Aoshi,Ai yori Aoshi,153,FALSE,11/27/1998,8/26/2005,7.53,5755,13021,310,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
76,Akachan to Boku,Baby & Me,108,FALSE,5/2/1991,6/20/1997,7.66,879,2438,48,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
77,Alice 19th,Alice 19th,40,FALSE,6/20/2001,3/5/2003,7.35,8502,15564,324,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
78,Alichino,Alichino,17,FALSE,11/1/1998,5/1/2001,7.07,1862,4474,95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
79,Sora wa Akai Kawa no Hotori,Red River,96,FALSE,1/5/1995,6/5/2002,8.31,8705,22215,1212,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
80,Angelic Layer,Angelic Layer,28,FALSE,12/26/1998,9/26/2001,7.12,7411,14406,153,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
81,Aria,Aria,67,FALSE,2/28/2002,2/29/2008,8.62,9426,34729,2428,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
83,Ayashi no Ceres,Ceres: Celestial Legend,83,FALSE,8/5/1996,1/20/2000,7.57,6768,13807,369,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
84,Fushigi Yuugi,Fushigi Yugi,106,FALSE,5/1/1992,7/1/1996,7.64,10551,22431,958,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
85,Azumanga Daioh,Azumanga Daioh,69,FALSE,1/18/1999,3/21/2002,8.35,23017,47599,3204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,Time Stranger Kyoko,Time Stranger Kyoko,13,FALSE,8/3/2000,8/3/2001,7.2,4628,9024,83,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
87,Tactics,Tactics,0,FALSE,12/18/2000,1/1/2013,7.36,947,3188,65,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,Angel/Dust,Angel/Dust,9,FALSE,4/10/2000,12/9/2000,6.35,1996,3846,19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Gals!,GALS!,40,FALSE,8/1/1999,7/15/2002,7.42,1629,3738,115,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
90,Loveless,Loveless,0,TRUE,11/17/2001,,7.65,11101,27253,1576,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
91,Marmalade Boy,Marmalade Boy,40,FALSE,5/1/1992,10/1/1995,7.59,8499,16983,416,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
92,Bishoujo Senshi Sailor Moon,Sailor Moon,61,FALSE,12/28/1991,2/3/1997,8.19,22605,50319,4282,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
93,Megami Kouhosei,The Candidate for Goddess,27,FALSE,11/1/1996,1/1/2001,6.87,940,2211,27,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
94,D.N.Angel,D.N. Angel,108,FALSE,1/1/1997,1/22/2021,7.43,13064,28422,1045,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
95,Lagoon Engine,Lagoon Engine,31,FALSE,1/1/2002,11/1/2007,6.99,415,992,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
96,Lagoon Engine Einsatz,Lagoon Engine Einsatz,10,FALSE,10/1/2004,7/1/2005,6.86,217,702,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
97,DearS,DearS,47,FALSE,8/27/2001,9/27/2005,7.14,5382,10671,182,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
98,Rozen Maiden,Rozen Maiden,46,FALSE,8/12/2002,5/30/2007,7.77,6543,16864,566,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
99,Zombie-Loan,Zombie-Loan,83,FALSE,10/18/2002,2/18/2011,7.36,6824,17663,316,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
100,Prism Palette,,10,FALSE,9/1/2001,,6.22,279,668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,Shugo Chara!,Shugo Chara!,55,FALSE,12/28/2005,8/3/2010,7.72,18816,36989,1755,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
102,Fruits Basket,Fruits Basket,136,FALSE,7/18/1998,11/20/2006,8.52,70603,136443,14198,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
103,Never Give Up!,Never Give Up!,77,FALSE,2/5/1999,12/5/2002,7.39,884,3044,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
104,Yotsuba to!,Yotsuba&!,0,TRUE,3/21/2003,,8.87,50644,141426,15120,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,Kekkaishi,Kekkaishi,345,FALSE,2/18/2004,4/6/2011,7.99,13088,28781,822,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
106,Cardcaptor Sakura,Cardcaptor Sakura,50,FALSE,5/2/1996,7/3/2000,8.38,29959,59838,3723,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
107,Chobits,Chobits,88,FALSE,9/25/2000,10/28/2002,7.8,35479,64828,2741,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
108,Gouhou Drug,Legal Drug,18,FALSE,10/6/2000,7/24/2003,7.39,5366,11993,191,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
109,Wish,Wish,26,FALSE,10/6/1995,6/6/1998,7.44,7049,13329,277,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
110,AI ga Tomaranai!,A.I. Love you,55,FALSE,4/6/1994,8/20/1997,6.94,3189,7009,103,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
111,Mahoromatic,,45,FALSE,12/1/1998,7/26/2004,7.43,1422,3577,90,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
112,Shin Shunkaden,The Legend of Chun Hyang,3,FALSE,10/20/1992,2/20/1994,6.95,1826,3516,10,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
113,Clover,Clover,20,FALSE,1/1/1997,1/1/1999,7.56,6410,15520,335,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
114,Erementar Gerad,Elemental Gelade,96,FALSE,2/28/2002,12/28/2009,7.49,3672,8934,212,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
115,Erementar Gerad: Aozora no Senki,Erementar Gerade: Flag of Bluesky,0,TRUE,6/16/2003,,7.08,514,1727,13,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
116,.hack//G.U.+,.hack//G.U.+,26,FALSE,1/1/2006,1/1/2009,7.3,2501,5338,108,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,.hack//Tasogare no Udewa Densetsu,.hack//Legend of the Twilight,24,FALSE,12/10/2001,10/10/2003,7.05,9697,15821,374,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,Kobato.,Kobato.,40,FALSE,12/18/2004,7/8/2011,7.94,8600,20308,562,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,Magic Knight Rayearth,Magic Knight Rayearth,15,FALSE,11/1/1993,2/1/1995,7.6,9975,18935,492,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,Maburaho,,133,FALSE,12/20/2001,3/20/2015,7.51,164,847,11,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,Angel Cup,Angel Cup,35,FALSE,1/1/2001,,6.74,136,413,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,Tenshi no Su,Angel Nest,7,FALSE,1/1/2000,,6.6,247,586,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
124,Aqua,Aqua,10,FALSE,1/27/2001,9/28/2001,7.94,8132,17090,334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
125,Arcana,Arcana,23,FALSE,1/1/2003,,6.86,653,1852,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Archlord,Archlord,46,FALSE,9/30/2005,1/1/2008,6.76,1040,2159,10,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,Ark Angels,,12,FALSE,1/1/2007,,6.4,505,1049,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
128,Petshop of Horrors,Pet Shop of Horrors,41,FALSE,1/1/1995,1/1/1998,8.28,9224,29214,1407,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
129,Birth,Arm of Kannon,17,FALSE,1/1/1998,1/1/2003,6.34,254,933,15,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
130,Clamp Gakuen Tanteidan,Clamp School Detectives,12,FALSE,1/1/1992,10/1/1993,6.87,2671,5278,29,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
131,Aromatic Bitters,The Aromatic Bitters,11,FALSE,1/1/2001,1/1/2003,6.67,141,423,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
132,B'T X,B'T X,63,FALSE,10/26/1994,12/26/1999,6.66,510,1225,15,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
133,Tokyo Babylon,Tokyo Babylon,18,FALSE,1/1/1990,1/1/1993,8.01,7041,19102,791,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
134,MÄR,MÄR,161,FALSE,5/1/2003,7/1/2006,7.36,8395,15186,369,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,MÄR Omega,MÄR Omega,39,FALSE,9/1/2006,6/13/2007,6.02,1571,3396,14,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,Rekka no Honoo,Flame of Recca,330,FALSE,3/22/1995,10/30/2002,7.73,6589,14254,346,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
137,R.O.D: Read or Die,Read or Die,30,FALSE,12/18/1999,5/18/2002,7.07,1591,4491,72,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
138,Baby Birth,Baby Birth,21,FALSE,5/1/2001,8/1/2002,6.14,270,647,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Ba_ku,Ba_ku,5,FALSE,5/1/2003,,6.96,488,975,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
140,Bakuretsu Hunters,Sorcerer Hunters,72,FALSE,8/1/1993,10/1/1998,7.08,601,1640,39,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
